1ADTM;CIEPOL;83082;2                                                                                                                                                                                    
1ADTM;DCIVIL1;82084;4                                                                                                                                                                                   
1ADTM;DPRCIV1;82299;2                                                                                                                                                                                   
1ADTM;EC;81781;2                                                                                                                                                                                        
1ADTM;INTDIRE;81530;4                                                                                                                                                                                   
1ADTM;LPO;80149;2                                                                                                                                                                                       
1ADTM;METPESJ;82837;2                                                                                                                                                                                   
1ADTM;SOCGER;104;2                                                                                                                                                                                      
1BDTM;CIEPOL;83082;2                                                                                                                                                                                    
1BDTM;DCIVIL1;82065;4                                                                                                                                                                                   
1BDTM;DPRCIV1;82299;2                                                                                                                                                                                   
1BDTM;EC;81781;2                                                                                                                                                                                        
1BDTM;INTDIRE;82852;4                                                                                                                                                                                   
1BDTM;LPO;80149;2                                                                                                                                                                                       
1BDTM;METPESJ;82837;2                                                                                                                                                                                   
1BDTM;SOCGER;104;2                                                                                                                                                                                      
1CDTM;CIEPOL;83004;2                                                                                                                                                                                    
1CDTM;DCIVIL1;82084;4                                                                                                                                                                                   
1CDTM;DPRCIV1;83001;2                                                                                                                                                                                   
1CDTM;EC;81781;2                                                                                                                                                                                        
1CDTM;INTDIRE;82852;4                                                                                                                                                                                   
1CDTM;LPO;80149;2                                                                                                                                                                                       
1CDTM;METPESJ;82837;2                                                                                                                                                                                   
1CDTM;SOCGER;83299;2                                                                                                                                                                                    
1DDTN;CIEPOL;83004;2                                                                                                                                                                                    
1DDTN;DCIVIL1;82065;4                                                                                                                                                                                   
1DDTN;DPRCIV1;82929;2                                                                                                                                                                                   
1DDTN;EC;81781;2                                                                                                                                                                                        
1DDTN;INTDIRE;81530;4                                                                                                                                                                                   
1DDTN;LPO;80149;2                                                                                                                                                                                       
1DDTN;METPESJ;82242;2                                                                                                                                                                                   
1DDTN;SOCGER;81851;2                                                                                                                                                                                    
1EDTN;CIEPOL;83082;2                                                                                                                                                                                    
1EDTN;DCIVIL1;82065;4                                                                                                                                                                                   
1EDTN;DPRCIV1;82929;2                                                                                                                                                                                   
1EDTN;EC;81781;2                                                                                                                                                                                        
1EDTN;INTDIRE;81530;4                                                                                                                                                                                   
1EDTN;LPO;80149;2                                                                                                                                                                                       
1EDTN;METPESJ;84410;2                                                                                                                                                                                   
1EDTN;SOCGER;81851;2                                                                                                                                                                                    
1FDTN;CIEPOL;83082;2                                                                                                                                                                                    
1FDTN;DCIVIL1;1305;4                                                                                                                                                                                    
1FDTN;DPRCIV1;82929;2                                                                                                                                                                                   
1FDTN;EC;84435;2                                                                                                                                                                                        
1FDTN;INTDIRE;81539;4                                                                                                                                                                                   
1FDTN;LPO;80149;2                                                                                                                                                                                       
1FDTN;METPESJ;82242;2                                                                                                                                                                                   
1FDTN;SOCGER;81851;2                                                                                                                                                                                    
1GDTN;CIEPOL;83004;2                                                                                                                                                                                    
1GDTN;DCIVIL1;83079;4                                                                                                                                                                                   
1GDTN;DPRCIV1;82929;2                                                                                                                                                                                   
1GDTN;EC;84435;2                                                                                                                                                                                        
1GDTN;INTDIRE;81539;4                                                                                                                                                                                   
1GDTN;LPO;83191;2                                                                                                                                                                                       
1GDTN;METPESJ;82242;2                                                                                                                                                                                   
1GDTN;SOCGER;81851;2                                                                                                                                                                                    
1HDTN;CIEPOL;83004;2                                                                                                                                                                                    
1HDTN;DCIVIL1;83079;4                                                                                                                                                                                   
1HDTN;DPRCIV1;82985;2                                                                                                                                                                                   
1HDTN;EC;84435;2                                                                                                                                                                                        
1HDTN;INTDIRE;83480;4                                                                                                                                                                                   
1HDTN;LPO;83191;2                                                                                                                                                                                       
1HDTN;METPESJ;84410;2                                                                                                                                                                                   
1HDTN;SOCGER;82010;2                                                                                                                                                                                    
1IDTN;CIEPOL;83004;2                                                                                                                                                                                    
1IDTN;DCIVIL1;83052;4                                                                                                                                                                                   
1IDTN;DPRCIV1;1691;2                                                                                                                                                                                    
1IDTN;EC;84435;2                                                                                                                                                                                        
1IDTN;INTDIRE;83480;4                                                                                                                                                                                   
1IDTN;LPO;84535;2                                                                                                                                                                                       
1IDTN;METPESJ;82242;2                                                                                                                                                                                   
1IDTN;SOCGER;82010;2                                                                                                                                                                                    
1JDTN;CIEPOL;83299;2                                                                                                                                                                                    
1JDTN;DCIVIL1;83052;4                                                                                                                                                                                   
1JDTN;DPRCIV1;83431;2                                                                                                                                                                                   
1JDTN;EC;84435;2                                                                                                                                                                                        
1JDTN;INTDIRE;84592;4                                                                                                                                                                                   
1JDTN;LPO;83191;2                                                                                                                                                                                       
1JDTN;METPESJ;84410;2                                                                                                                                                                                   
1JDTN;SOCGER;82010;2                                                                                                                                                                                    
1KDTN;CIEPOL;83299;2                                                                                                                                                                                    
1KDTN;DCIVIL1;81297;4                                                                                                                                                                                   
1KDTN;DPRCIV1;83431;2                                                                                                                                                                                   
1KDTN;EC;84435;2                                                                                                                                                                                        
1KDTN;INTDIRE;84592;4                                                                                                                                                                                   
1KDTN;LPO;83191;2                                                                                                                                                                                       
1KDTN;METPESJ;84410;2                                                                                                                                                                                   
1KDTN;SOCGER;82010;2                                                                                                                                                                                    
1RDTM;CIEPOL;83004;2                                                                                                                                                                                    
1RDTM;DCIVIL1;83052;4                                                                                                                                                                                   
1RDTM;DPRCIV1;444;2                                                                                                                                                                                     
1RDTM;EC;81781;2                                                                                                                                                                                        
1RDTM;INTDIRE;81539;4                                                                                                                                                                                   
